Event Name,Date,Player1,Player2,Player1 UTR,Player2 UTR,Score
USTA Florida Level 5 Plantation Boy's & Girl's 16s,2018-11-18,Ahmani Guichard,Ayami Maehama,9.0,0.0,"6-2, 6-3"
USTA Florida Level 5 Plantation Boy's & Girl's 16s,2018-11-18,Ahmani Guichard,Nadia Pegram,9.0,8.0,"7-5, 2-6, 1-0(4)"
USTA Florida Level 5 Plantation Boy's & Girl's 16s,2018-11-18,Ahmani Guichard,Grace Levelston,9.0,10.0,6-4
USTA Florida Level 5 Plantation Boy's & Girl's 16s,2018-11-18,Ahmani Guichard,Leighanna Moskos ,9.0,0.0,"6-3, 6-1"
USTA Florida Level 5 Plantation Boy's & Girl's 16s,2018-11-18,Ahmani Guichard,Valeria Centeno Mendoza,9.0,8.0,"6-2, 6-1"
Allstate Sugar Bowl Tennis Classic - USTA National Level 3 BG 12-18,2018-11-11,Ahmani Guichard,Cade Cricchio,9.0,8.0,"6-2, 6-1"
Allstate Sugar Bowl Tennis Classic - USTA National Level 3 BG 12-18,2018-11-11,Ahmani Guichard,Carla Pacot,9.0,8.0,"6-2, 6-2"
Allstate Sugar Bowl Tennis Classic - USTA National Level 3 BG 12-18,2018-11-11,Ahmani Guichard,Olivia Fermo,9.0,7.0,"6-7, 7-5, 1-0"
Allstate Sugar Bowl Tennis Classic - USTA National Level 3 BG 12-18,2018-11-11,Ahmani Guichard,Micah Pierce,9.0,8.0,"7-6, 6-2"
Allstate Sugar Bowl Tennis Classic - USTA National Level 3 BG 12-18,2018-11-11,Mia Slama,Ahmani Guichard,10.24,9.0,"6-2, 6-0"
Allstate Sugar Bowl Tennis Classic - USTA National Level 3 BG 12-18,2018-11-11,Ava Bruno,Ahmani Guichard,9.0,9.0,
South Carolina ITF,2018-11-03,Dasha Tomashevskaya,Elise Wagle,0.0,10.0,"6-3, 6-0"
Jeff Chai Memorial Fall Junior Open (Level 4),2018-10-29,Isabella Bringas,Mia Jovic,8.0,8.0,"6-3, 6-3"
Jeff Chai Memorial Fall Junior Open (Level 4),2018-10-29,Mia Jovic,Johannah Galindo,8.0,8.0,"6-2, 6-1"
32nd Annual SCTA Central Coast Grand Prix Masters Championships (Level 3),2018-10-27,Kate Fakih,Amber Wey,10.43,0.0,"6-2, 6-3"
32nd Annual SCTA Central Coast Grand Prix Masters Championships (Level 3),2018-10-27,Makayla Whalen,Kate Fakih,8.0,10.43,"6-2, 6-2"
The Orange County/J.P. Yamasaki Junior Closed Tournament (Level 2),2018-10-26,Anne Lutkemeyer Obregon,Keira Jirasook,10.0,0.0,"6-3, 6-1"
The Orange County/J.P. Yamasaki Junior Closed Tournament (Level 2),2018-10-26,Anne Lutkemeyer Obregon,Kelly Keller,10.0,9.76,"6-3, 6-2"
The Orange County/J.P. Yamasaki Junior Closed Tournament (Level 2),2018-10-26,Rochelle Suarez,Olivia Center,0.0,9.95,"1-6, 7-5, 1-0(7)"
The Orange County/J.P. Yamasaki Junior Closed Tournament (Level 2),2018-10-26,Midori Castillo Meza,Anne Christine Lutkemeyer Obregon,10.0,10.0,"7-5, 6-2"
The Orange County/J.P. Yamasaki Junior Closed Tournament (Level 2),2018-10-26,Kate Fakih,Emily Deming,10.43,9.94,"6-4, 3-6, 1-0(6)"
The Orange County/J.P. Yamasaki Junior Closed Tournament (Level 2),2018-10-26,Kate Fakih,Elina Shalaev,10.43,7.0,"6-4, 7-5"
The Orange County/J.P. Yamasaki Junior Closed Tournament (Level 2),2018-10-26,Kate Fakih,Samantha Wang,10.43,8.0,"6-4, 2-6, 1-0(7)"
The Orange County/J.P. Yamasaki Junior Closed Tournament (Level 2),2018-10-26,Kate Fakih,Lillian Kelly,10.43,7.0,"6-3, 6-0"
The Orange County/J.P. Yamasaki Junior Closed Tournament (Level 2),2018-10-26,Lucinda Gatsiounis,Kate Fakih,8.0,10.43,"6-0, 6-0"
The Orange County/J.P. Yamasaki Junior Closed Tournament (Level 2),2018-10-26,LETICIA BAZUA,Mia Jovic,8.0,8.0,"7-5, 4-6, 1-0(4)"
Palos Verdes Peninsula Fall Junior Open (Level 5),2018-10-20,Mia Jovic,Violette Reid,8.0,0.0,"7-6, 6-2"
Palos Verdes Peninsula Fall Junior Open (Level 5),2018-10-20,Mia Jovic,Sophia Webster,8.0,9.86,"2-6, 6-3, 1-0(8)"
Palos Verdes Peninsula Fall Junior Open (Level 5),2018-10-20,Allison Lian,Mia Jovic,8.0,8.0,"6-4, 1-6, 1-0(9)"
USTA Florida Level 5 Seminole County BG16 & B14,2018-10-14,Ahmani Guichard,Lea Wolfe,9.0,0.0,"6-3, 6-2"
USTA Florida Level 5 Seminole County BG16 & B14,2018-10-14,Ahmani Guichard,Brooke Dugarte,9.0,0.0,
USTA Florida Level 5 Seminole County BG16 & B14,2018-10-14,Ahmani Guichard,Juanita Cabrera,9.0,5.0,"6-1, 6-0"
USTA Florida Level 5 Seminole County BG16 & B14,2018-10-14,Ahmani Guichard,Leighanna Moskos ,9.0,0.0,
USTA Florida Level 5 Seminole County BG16 & B14,2018-10-14,Tatiana Ziff,Ahmani Guichard,0.0,9.0,"7-5, 4-6, 1-0(5)"
USTA Florida Level 5 Seminole County BG16 & B14,2018-10-14,Ahmani Guichard,Marissa Pennings,9.0,10.0,"7-5, 2-6, 1-0(6)"
Pan American ITF Championship,2018-10-12,Anastasia Sysoeva,Kimmi Hance,9.0,10.46,"6-2, 1-6, 6-2"
